main,symptoms,diabetes,tell,may,treat,bruxism,cause,stroke
0.032642,-0.036559,0.033484,-0.025819,-0.034686,0.014085,-0.05604,-0.061307,-0.035926
-0.037231,-0.029487,-0.046229,-0.023199,-0.05213,-0.059584,-0.067647,-0.015698,-0.046038
0.0024013,0.0014193,-0.10865,-0.0025973,-0.012657,0.00062991,0.0014307,0.033802,-0.041621
-0.03395,0.040797,-0.015682,0.021975,-0.035607,0.085713,0.013632,0.012051,0.093919
-0.04715,0.010602,0.0093512,-0.056053,-0.08114,-0.02284,0.018029,-0.043491,-0.076987
-0.08516,-0.009678,0.034496,-0.068238,0.0054494,-0.058889,0.031351,0.021205,-0.012233
0.037521,-0.015951,-0.033669,0.016477,-0.006587,-0.015956,0.022106,0.010602,-0.11955
-0.20107,-0.080105,-0.082676,-0.10757,-0.17316,-0.12783,-0.031109,-0.12713,-0.083996
-0.073209,0.013049,0.042334,-0.070467,-0.022651,0.02022,-0.020088,0.042046,0.11112
-0.019888,-0.0072451,0.040137,0.023514,-0.097581,-0.03215,-0.074682,-0.011341,-0.019053
-0.0055263,-0.044739,0.0061191,-0.10921,-0.083452,-0.097042,-0.067122,-0.075492,-0.056604
-0.10275,-0.036203,-0.00997,0.065995,-0.13089,0.063548,-0.026832,0.0926,-0.0092134
0.03541,0.060041,0.11356,0.011405,0.06605,0.062466,0.030833,0.040486,0.10393
-0.006501,-0.073131,-0.037824,0.0082134,0.0082282,-0.050065,-0.048837,-0.028786,-0.050438
0.038889,-0.014517,-0.03888,0.0052727,-0.03927,-0.021747,0.063735,-0.006267,0.0032172
0.012087,-0.018208,0.048674,-0.047113,0.031436,0.0056446,-0.027792,-0.010503,0.083377
0.094667,0.029903,0.084395,0.070423,0.18427,0.039324,0.043112,0.091434,0.030819
0.0052583,0.051956,-0.055524,-0.025157,0.013687,0.039903,-0.010338,-0.013498,-0.043559
0.10012,0.073429,0.04965,0.10635,0.13458,0.15716,0.020404,0.1404,0.048577
0.039454,-0.018932,-0.050815,-0.025782,-0.044337,0.089494,-0.063892,-0.026032,-0.085028
-0.020994,-0.052499,-0.042282,0.0062573,0.079149,0.02684,-0.025749,-0.036114,-0.0332
0.00033256,-0.029393,0.033138,0.056009,0.010082,-0.0045084,0.037308,0.012579,0.093759
0.13052,0.011009,0.032152,0.011049,0.08017,0.057107,-0.013556,0.059104,-0.028306
0.076991,0.081992,0.067645,0.048241,0.025195,0.051655,0.024424,0.079878,0.028206
0.048822,-0.13988,-0.028839,-0.065397,-0.018741,-0.028655,-0.0062164,-0.088453,-0.0089385
0.0021764,-0.088176,-0.033674,0.015809,-0.035169,0.01403,0.0079314,-0.047287,-0.046039
-0.029412,0.0050233,0.038172,0.013883,-0.076785,0.0030417,0.021389,-0.035474,-0.0011113
0.012408,0.056832,0.0063729,0.030295,0.022698,0.060253,0.0036624,0.040576,-0.031106
0.067364,0.13609,0.055937,-0.12265,-0.056107,-0.031488,0.048182,-0.022369,0.03851
0.01298,0.040835,0.04974,-0.046491,-0.049689,0.068066,-0.06469,-0.066066,-0.0062964
-0.062344,0.026086,0.03906,-0.036217,0.047534,-0.029737,0.023252,0.031499,-0.062647
0.022168,0.01676,-0.0057788,0.052639,-0.05834,0.043867,-0.04051,-0.0091133,-0.021681
-0.011642,0.044076,0.10916,0.032007,-0.078028,-0.036314,0.0057808,0.020714,0.08793
-0.084909,-0.049352,0.0050693,0.068709,0.13303,0.071554,0.0025282,-0.067239,-0.080536
0.027656,-0.031084,-0.00082861,0.018633,0.063234,0.01346,-0.029498,-0.036721,-0.033045
-0.019193,0.0077916,0.068391,-0.036432,-0.015813,-0.018433,0.065476,0.02188,-0.024737
0.0018124,-0.080894,-0.056457,-0.019625,0.057653,0.0026067,-0.041207,-0.058472,0.010047
0.0044113,0.03249,0.01662,0.028453,0.00025213,0.033764,0.023849,-0.045754,-0.031774
0.0021477,0.082845,0.00454,-0.066379,0.030999,-0.030992,0.05062,-0.035155,0.035477
-0.020942,0.020466,0.038615,-0.0029716,0.047498,-0.009452,0.016872,-0.020295,0.026267
0.038438,0.02713,0.028738,0.031958,-0.0060433,0.035354,0.051945,0.036116,0.012207
-0.10137,-0.0294,-0.043856,-0.12556,0.10244,-0.039479,-0.035719,0.016076,-0.064232
0.038727,0.013378,-0.04351,0.044831,0.028277,-0.0069309,-0.041964,-0.014272,0.069968
-0.0027027,0.016252,-0.059009,0.070142,0.018579,0.013882,0.023225,0.012899,0.0029796
-0.0036453,0.041564,0.060122,0.011679,-0.019515,-0.018959,0.054822,-0.024737,-0.051489
